"id","name","abbreviations","alternatives"
"9dfebbc0-4aa0-4059-9f51-c0376a3de23f","21st Century Cyber Charter School","{}","{}"
"3d10b7e4-710a-4015-a89a-912a75cfcf7f","Aalto University","{}","{}"
"97ef520c-bb1b-496d-b4bc-432ae7bc3884","Aarhus University","{}","{}"
"84509b9b-d1b0-4437-8364-16ae9821a154","Abbey Park High School","{}","{}"
"bc307f25-11f4-4e85-84be-43d248413471","Abbey Park Middle School","{}","{}"
"ea446a08-cca6-4215-90b9-ec5913c4743c","Abertay University","{}","{}"
"bd475bd7-a90c-4a0a-9a01-d45959c26a0d","ABES Engineering College","{}","{}"
"5df896e7-4d7f-4d71-a750-eea77cd78112","Abington Senior High School","{}","{}"
"9b393e77-20f6-413f-9552-dbc56d0ab0be","Abraham Lincoln High School","{}","{}"
"605f2cd8-57d8-4933-8c40-39b69c5dabeb","Abraham Lincoln High School, Philadelphia","{}","{}"
"332d98bc-1f9c-4cfe-84ab-66c3d8150b26","Academies of Loudoun","{}","{}"
"3429d20b-950d-4807-91ec-a12ff43781eb","Academy at Palumbo","{}","{}"
"cfd081f7-6ca2-4f11-a8c0-fa58fe1131e3","Academy of Technology","{}","{}"
"dd1c99d9-ad41-4277-b02b-d8c0a71dd8f8","Acardia High School, Arizona","{}","{}"
"43d8b697-31e6-43d7-a592-d3caeb9e7da2","ACE Engineering College","{}","{}"
"f0207e39-1594-44cc-9377-2f1d11957d68","Achariya College of Engineering Technology","{}","{}"
"f16d44ce-646a-40c1-9778-2175bab23b64","Acharya Institute of Technology","{}","{}"
"b77a1d4d-5750-47eb-8735-0758908b0a2a","Acharya Institute of Technology","{""AIT""}","{}"
"8e07dd4a-2a2b-4403-a4b3-4b4edbea7b71","Acharya Narendra Dev College, University Of Delhi","{}","{}"
"96ae3c10-79d5-409b-b426-7ec067587138","Achievement House Charter School, Online","{}","{}"
"22b20767-43ea-4975-ba3d-7a6e8b98d5da","Acropolis Institute of Technology & Research","{}","{}"
"9c4f0f1a-379a-4c6c-9432-47fcedcd217c","ACT Academy Cyber Charter School","{}","{}"
"5df27b3a-ab3b-44f6-8386-83a4c4d60767","Acton-Boxborough Regional High School","{}","{}"
"c678488a-713c-4e59-86be-facb6a8a7794","Adelphi University","{""AU""}","{}"
"32ab2ec6-9ca7-46f3-93df-d965ddcff18a","Aditya Institute of Technology and Management","{""AITAM"",""AITAM College"",""AITAM College, Tekkali""}","{""Aditya Institute of Technology and Management, Tekkali""}"
"f110079d-f98e-4a1a-8436-d8ab759ed2a8","Adlai E. Stevenson High School","{}","{}"
"a7fe64c9-218c-483b-87ab-b3a519d650f4","Advanced Math and Science Academy Charter School","{}","{}"
"547ef208-0d5f-4d47-920a-943b9c115d13","African Leadership University","{""ALU""}","{}"
"177a6f01-9342-414b-8087-fb388c4992aa","AGH University of Science and Technology","{}","{}"
"530dbbb6-524e-49fd-a4ab-9af3c620b621","Agnes Scott College","{}","{}"
"c776610e-d460-480b-b770-85d2abf39443","Agora Cyber Charter School","{}","{}"
"81b0d001-7d66-4442-832b-900cc68d9b3b","Ajay Kumar Garg Engineering College","{""AKGEC""}","{}"
"08ba76e8-46b9-46a1-95e9-323121c7d35c","Alagappa Chettiar Government College of Engineering and Technology","{}","{}"
"0b970615-933c-43da-bff7-67597af14c6a","Alagappa College of Technology, Anna University","{}","{}"
"3cca7452-f1ce-49a9-abdf-dd94d60846f1","Alameda High School","{}","{}"
"5a7ccff9-1014-400d-a215-afe7b60b7a31","Albany Medical College","{}","{}"
"afbdf5c5-7b4d-4a63-bac7-38b52e84cd71","Albany State University","{""ASU""}","{}"
"401539f0-df39-4b6d-ab90-c9476ecc4941","Albertian Institute of Science and Technology","{""AISAT""}","{}"
"af7b0f87-4c7f-4943-94e1-e6d3fd0d8c70","Albright College","{}","{}"
"e54bd6ca-c331-467d-a1ff-d09f999b7469","Alfa College","{}","{}"
"ab480365-b47f-4ec7-829d-3a497484ca91","Aligarh Muslim University","{}","{}"
"340f4716-56e5-42be-890d-d582b45b62f3","Allen High School","{}","{}"
"6de69f38-bb8c-4248-97e8-670cc4008fbe","Alwar Institute of Engineering and Technology","{""AIET""}","{}"
"25462a7f-f0ef-44be-ae36-be84af75614a","Amador Valley High School","{}","{}"
"25686da2-86a4-401d-8a52-a63aee9fbfe4","Ambala College of Engineering and Applied Research","{}","{}"
"23cbbb13-5d2b-485f-b971-4e53c4955a71","Ambedkar Institute of Advanced Communication Technologies and Research","{""AIACTR""}","{}"
"86d83068-dccf-4b05-adb4-94d0f3d9225d","AMC Engineering College","{}","{}"
"9252b290-6c14-4760-8e3a-2f5526ce3760","American Heritage School","{}","{}"
"5e330efd-d67c-4dfb-ac30-91fe943b672e","American High School","{}","{}"
"1e73f007-8ab5-402f-90c7-ed43763adbfb","American River College, California","{}","{}"
"dbcace95-0545-46e2-9373-ecf618701782","American University in Dubai","{""AU""}","{}"
"a97727c5-8505-4b14-9b4a-0126b7418bfa","American University, Washington, D.C.","{""AU""}","{}"
"d0cd41c5-347f-4980-9735-652fc7e73b4b","Amherst College","{}","{}"
"de38b659-87cc-49a0-a5ef-d536b1230d75","Amity International School","{}","{}"
"92edc466-c2c2-448f-82df-4d3582eb1669","Amity School of Engineering and Technology","{}","{}"
"6fe8287d-d68b-4c29-91b0-670abcb03213","Amity University","{}","{}"
"90193a80-685a-44bc-b72a-60785b121113","Amity University, Kolkata","{}","{}"
"ce146536-19a0-4cc7-a0dc-6be2fc1c5d66","Amrita School of Engineering","{}","{}"
"521a73d5-32bf-4b0a-88e0-5c6ae456c336","Amrita Vishwa Vidhyapeetam, Amritapuri","{}","{}"
"4b6d5ae8-58c1-4533-b5d2-2a7a7347e374","Amrita Vishwa Vidyapeetham Coimbatore","{}","{""Amrita University""}"
"6c824c15-407d-47df-9044-3a993969cc4c","Amritsar College of Engineering & Technology","{}","{}"
"bde2a218-71e2-44da-b9fc-6c6df6a9dfcb","Anand Institute of Higher Technology","{}","{}"
"e7747454-9467-42b4-9ca4-0a4315cd5a8a","Ancaster High School","{}","{}"
"cb83dcf8-3c74-4603-a9fb-375d0028ba46","Anchor Bay High School","{}","{}"
"b6321d81-9cab-43b0-af51-6cf0a9f675aa","Andhra University College of Engineering","{}","{}"
"49d29057-446f-4849-bd8e-06cdd6f16434","Andover Central High School","{}","{}"
"3d57fd52-b641-4bfb-a3a3-e7e64faea0ad","Angadi Institute of Technology & Management","{""AITM""}","{}"
"bc50437e-29c2-4cfe-a4e9-5a7fd6d5bbeb","Anil Neerukonda Institute of Technology and Sciences","{}","{}"
"85d79aa6-97ae-4898-8377-25484cd86037","Anjalai Ammal Mahalingam Engineering College","{}","{}"
"582d3d7d-1b8c-49d3-bfd2-bf454378936a","Anjuman-I-Islam's Abdul Razzaq Kalsekar Polytechnic","{""AIARKP""}","{""A. R. Kalsekar Polytechnic"",""Anjuman-I-Islam's A. R. Kalsekar Polytechnic""}"
"3356c7c4-4cd1-4850-9290-0c1052f5141c","Anna University","{}","{}"
"865a9af6-1db2-429b-a197-34924e5ba0e6","Ansal Technical Campus, Dr. A.P.J Abdul Kalam Technical University","{}","{}"
"e4e8a5d7-3244-4199-be6b-5feff3eeec6a","Anurag University, Ghatkesar","{}","{}"
"d5b0ef2b-bbd3-49bf-a3b7-932d07738f8a","Apeejay Stya University","{}","{}"
"3c483a4c-ebbe-43db-8837-315f9da6f93b","APPA Institute of Engineering and Technology","{}","{}"
"4c530d4b-29e0-47f5-b08a-bdfc86a7c85d","Appalachian State University","{""ASU""}","{}"
"92d8753c-07df-45c3-b8d7-ec256e5677f9","APS College of Engineering","{}","{}"
"cc2b5210-22d2-4fa4-a252-1c9ea5f8ecac","Aravali Institute of Technical Studies","{}","{}"
"2bf0ba7b-f338-464c-ab39-9635c2c7e545","Arcadia High School, California","{}","{}"
"aa77f6fc-7b5b-4e89-9947-584d768b401f","Arcadia University","{""AU""}","{}"
"cc0ab7c6-13cd-4c88-9f7c-665dbb815aff","Arizona State University","{""ASU""}","{}"
"c30a4afe-3499-478d-9de6-df5e9fad996d","Army Institute Of Technology, Pune","{}","{}"
"94b61ff3-b5bc-43fa-8039-bd25079645d9","Art Institute of Philadelphia","{}","{}"
"600d70bf-230c-4c0f-a67c-ed8ee3b78336","Arya College of Engineering & I.T.","{}","{}"
"2bb2d4a9-69d2-468c-a5cc-deff877621b1","Ashoka Institute of Technology and Management","{}","{}"
"0ac8a90f-1459-415f-af19-cff2968c00ed","Ashoka University","{}","{}"
"2765d37e-b582-4fe0-97d7-3b6c32f14818","Asian School of Business Management","{""ASBM"",""ASBM University""}","{""Asian School of Business Management University""}"
"12c1834a-3c9a-47d9-9a81-62c36fc65062","Asia Pacific Institute of Information Technology Panipat","{}","{}"
"c589c002-f733-4381-bddf-5202d3fe7998","Asia Pacific University of Information & Technology, Kuala Lumpur","{}","{}"
"6fba5070-728c-462b-88cd-14cdcb3fd799","ASPIRA Bilingual Cyber Charter School","{}","{}"
"77a4523e-c75f-458b-abbf-175569b11fa4","Assam Downtown University","{}","{}"
"595f876c-4f86-4558-9c15-110bca4b8ab2","Assam Engineering College","{}","{}"
"1999616c-778d-4c1b-82c9-0156d771f889","Assam University, Silchar","{}","{}"
"3a9c0dc1-a41f-475b-aed9-b3b72799182d","Aston University","{}","{}"
"3f35473e-8af5-4791-97d8-bc4462f0e7be","Atal Bihari Vajpayee Indian Institute of Information Technology and Management","{""ABV-IITM"",""ABV-IIITM, Gwalior""}","{""Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior""}"
"633644a7-ae9e-414d-8e3c-32c33c31a6e9","Atlanta Metropolitan State College","{}","{}"
"7390415f-2e14-4279-95c6-db339156ad90","Atlantic Cape Community College","{}","{}"
"fd197bce-94a6-4630-ad97-500d03c6cad8","Atma Ram Sanatan Dharma College","{}","{}"
"53147be9-d072-4d96-ae34-3db964935dd1","ATME College of Engineering","{}","{}"
"0765544a-f402-4ded-96db-722b85ff5781","Atria Institute of Technology","{}","{}"
"eff2984f-5a52-4d1d-8b39-65a6e036696c","Auburn University","{""AU""}","{}"
"57d6d4cd-787a-4744-a526-2671462ca8e2","Audisankara College of Engineering and Technology","{}","{}"
"8916d965-ab8e-4bcd-84bd-b9be8e400ce2","Aurora Group of Institutions","{}","{}"
"a014ae5f-dde0-4ad3-9223-89925235fcf3","Austin Community College District","{}","{}"
"17051323-d99d-4f4e-96a3-e6c89c712af1","Aviation Career & Technical Education High School","{}","{}"
"f7e866b3-0749-473f-8645-ad03663bd52f","Avon High School","{}","{}"
"3ef21c64-bc93-4c56-b226-2322c1e53f12","Babaria Institute of Technology","{}","{}"
"a782a893-64a3-4f90-809f-1adb707cd912","Babson College","{}","{}"
"a80c2f6e-8048-447d-85fd-9c99bbf478b1","Babu Banarasi Das National Institute of Technology and Management","{}","{}"
